Key,japanese
meleeCuestick,キュー
meleeCuestickDesc,"ビリアードのキュー。\n\nあまり威力は高くありませんが、武器として使えます。"
meleeKatana1,刀
meleeKatana1Desc,"侍用の武器ですが、誰が使っても文句を言う人はもういないでしょう。"
meleeNailBoard,釘付き木材
meleeNailBoardDesc,シンプルな近接武器。
meleePipeHammer,パイプ・ハンマー
meleePipeHammerDesc,シンプルな近接武器。
meleePipeWrench,パイプ・レンチ
meleePipeWrenchDesc,シンプルな近接武器。
meleeRebarClub,鉄筋クラブ
meleeRebarClubDesc,重い打撃武器。\n\n荒れ地の瓦礫の中で見つけました...
meleeRollingPin,めん棒
meleeRollingPinDesc,調理用の道具ですが、今は近接武器です。
meleeTireIron,タイヤ鉄
meleeTireIronDesc,"重くて鉄で出来ているので、近接武器として使用できます。"
meleeSupaSledge,スーパースレッジ
meleeSupaSledgeDesc,"改造されたスレッジハンマー。\n\n重くて振りが遅いけど、威力が非常に高い近接武器。"
meleeGuitar,ギター
meleeGuitarDesc,"古いギター。\n\n頭蓋骨を破壊するためにしか使えそうにありません。"

meleeTheBreak,[FFC300]ザ・ブレイク[-]
meleeTheBreakDesc,オーダーメイドのキュー。\n\n通常の物より与ダメージ量と部位破壊率が高くなっています。
meleeDukeSledge,[FFC300]デュークの判決[-]
meleeDukeSledgeDesc,強力なスーパースレッジ。
meleeMBC,[FFC300]マッドビーン棍棒[-]
meleeMBCDesc,荒れ地で見つけた近接武器。\n\nこんなものを作った人物には出会いたくありません．．．
meleeNavSlugger,[FFC300]Navezganeスラッガー[-]
meleeNavSluggerDesc,ゾンビの頭でホームランを打ちましょう。
meleeOpenBreaker,[FFC300]オープン・ブレーカー[-]
meleeOpenBreakerDesc,"ゾンビ退治は24時間営業中です。"

cntUFO,墜落したUFO
cntUFODesc,UFOブロック

vehicleVertibirdchassis,ベルチバード・シャーシ
vehicleVertibirdchassisDesc,ベルチバードをクラフトするために必要なパーツ。\n\nグリースモンキーのレベル5が必要です。
vehicleVertibirdengines,ベルチバード・エンジン
vehicleVertibirdenginesDesc,ベルチバードをクラフトするために必要なパーツ。\n\nグリースモンキーのレベル5が必要です。
vehicleVertibird,ベルチバード
vehicleVertibirdplaceable,ベルチバード
vehicleVertibirdplaceableDesc,6人まで乗ることが出来る軍用ヘリ。
vehicleVertibirdchassisSchematic,ベルチバード・シャーシの図
vehicleVertibirdenginesSchematic,ベルチバード・エンジンの図

RaiderLeaderLoot,レイダー・リーダーの宝
RaiderLeaderLootDesc,レイダー・リーダーの宝
resourcePowerArmorRepairKit,パワーアーマー・リペアキット
resourcePowerArmorRepairKitDesc,パワーアーマーを修理するために必要な修理キット。
powerArmorMaster1Desc,"パワーアーマーの部位。\n全部位着用するまでは機動力への負担がかかりますが、一式全て身に着けると機動力が大幅に上がります。\n\nパワーアーマー・リペアキットで修理可能。"
powerArmorHelmet_Model_A1,A1 パワーアーマー(頭)
powerArmorHelmet_Model_B1,B1 パワーアーマー(頭)
powerArmorHelmet_Model_C1,C1 パワーアーマー(頭)
powerArmorHelmet_Model_D1,D1 パワーアーマー(頭)
powerArmorHelmet_Model_E1,E1 パワーアーマー(頭)
powerArmorHelmet_Model_F1,F1 パワーアーマー(頭)
powerArmorHelmet_Model_G1,G1 パワーアーマー(頭)
powerArmorHelmet_Model_H1,H1 パワーアーマー(頭)
powerArmorHelmet_Model_I1,I1 パワーアーマー(頭)
powerArmorHelmet_Model_J1,J1 パワーアーマー(頭)
powerArmorHelmet_Model_K1,K1 パワーアーマー(頭)
powerArmorChest_Model_A1,A1 パワーアーマー(胴)
powerArmorChest_Model_B1,B1 パワーアーマー(胴)
powerArmorChest_Model_C1,C1 パワーアーマー(胴)
powerArmorChest_Model_D1,D1 パワーアーマー(胴)
powerArmorChest_Model_E1,E1 パワーアーマー(胴)
powerArmorChest_Model_F1,F1 パワーアーマー(胴)
powerArmorChest_Model_G1,G1 パワーアーマー(胴)
powerArmorChest_Model_H1,H1 パワーアーマー(胴)
powerArmorChest_Model_I1,I1 パワーアーマー(胴)
powerArmorChest_Model_J1,J1 パワーアーマー(胴)
powerArmorChest_Model_K1,K1 パワーアーマー(胴)
powerArmorArms_Model_A1,A1 パワーアーマー(腕)
powerArmorArms_Model_B1,B1 パワーアーマー(腕)
powerArmorArms_Model_C1,C1 パワーアーマー(腕)
powerArmorArms_Model_D1,D1 パワーアーマー(腕)
powerArmorArms_Model_E1,E1 パワーアーマー(腕)
powerArmorArms_Model_F1,F1 パワーアーマー(腕)
powerArmorArms_Model_G1,G1 パワーアーマー(腕)
powerArmorArms_Model_H1,H1 パワーアーマー(腕)
powerArmorArms_Model_I1,I1 パワーアーマー(腕)
powerArmorArms_Model_J1,J1 パワーアーマー(腕)
powerArmorArms_Model_K1,K1 パワーアーマー(腕)
powerArmorLegs_Model_A1,A1 パワーアーマー(足)
powerArmorLegs_Model_B1,B1 パワーアーマー(足)
powerArmorLegs_Model_C1,C1 パワーアーマー(足)
powerArmorLegs_Model_D1,D1 パワーアーマー(足)
powerArmorLegs_Model_E1,E1 パワーアーマー(足)
powerArmorLegs_Model_F1,F1 パワーアーマー(足)
powerArmorLegs_Model_G1,G1 パワーアーマー(足)
powerArmorLegs_Model_H1,H1 パワーアーマー(足)
powerArmorLegs_Model_I1,I1 パワーアーマー(足)
powerArmorLegs_Model_J1,J1 パワーアーマー(足)
powerArmorLegs_Model_K1,K1 パワーアーマー(足)
powerArmorBoots_Model_A1,A1 パワーアーマー(ブーツ)
powerArmorBoots_Model_B1,B1 パワーアーマー(ブーツ)
powerArmorBoots_Model_C1,C1 パワーアーマー(ブーツ)
powerArmorBoots_Model_D1,D1 パワーアーマー(ブーツ)
powerArmorBoots_Model_E1,E1 パワーアーマー(ブーツ)
powerArmorBoots_Model_F1,F1 パワーアーマー(ブーツ)
powerArmorBoots_Model_G1,G1 パワーアーマー(ブーツ)
powerArmorBoots_Model_H1,H1 パワーアーマー(ブーツ)
powerArmorBoots_Model_I1,I1 パワーアーマー(ブーツ)
powerArmorBoots_Model_J1,J1 パワーアーマー(ブーツ)
powerArmorBoots_Model_K1,K1 パワーアーマー(ブーツ)
PABundle1,パワーアーマー・セット
PABundle1Desc,パワーアーマー一式が入っています。
PABundle2,パワーアーマー・セット
PABundle2Desc,パワーアーマー一式が入っています。
PABundle3,パワーアーマー・セット
PABundle3Desc,パワーアーマー一式が入っています。
PABundle4,パワーアーマー・セット
PABundle4Desc,パワーアーマー一式が入っています。
PABundle5,パワーアーマー・セット
PABundle5Desc,パワーアーマー一式が入っています。
PABundle6,パワーアーマー・セット
PABundle6Desc,パワーアーマー一式が入っています。
PABundle7,パワーアーマー・セット
PABundle7Desc,パワーアーマー一式が入っています。
PABundle8,パワーアーマー・セット
PABundle8Desc,パワーアーマー一式が入っています。
PABundle9,パワーアーマー・セット
PABundle9Desc,パワーアーマー一式が入っています。
PABundle10,パワーアーマー・セット
PABundle10Desc,パワーアーマー一式が入っています。
PABundle11,パワーアーマー・セット
PABundle11Desc,パワーアーマー一式が入っています。
PowerArmorStand,パワーアーマー・スタンド
modPowerArmorHelmetRadar,パワーアーマー・レーダー
modPowerArmorHelmetRadarDesc,パワーアーマー(頭)にセット可能。\n\n近くにいる敵の位置がコンパス上に表示されるようになります。
modPowerArmorHelmetRadarMK2,パワーアーマー・レーダーMkII
modPowerArmorHelmetRadarMK2Desc,パワーアーマー(頭)にセット可能。\n\n敵の位置がコンパス上に表示されるようになります。
modPowerArmorHelmetScuba,パワーアーマー用酸素Mod
modPowerArmorHelmetScubaDesc,パワーアーマー(頭)にセット可能。\n\n水の中にいても溺れなくなります。
modPowerArmorArmsBlockBuster,パワーアーマー用ダメージアップMod
modPowerArmorArmsBlockBusterDesc,パワーアーマー(腕)にセット可能。\n\n近接ブロックダメージが上がります。
modPowerArmorArmsMelee,パワーアーマー用出血Mod
modPowerArmorArmsMeleeDesc,パワーアーマー(腕)にセット可能。\n\n攻撃時に敵に出血デバフを与えます。
modPowerArmorChestPlating,パワーアーマー用プレーティングMod
modPowerArmorChestPlatingDesc,パワーアーマー(胴)にセット可能。\n\n受けるダメージ量が軽減されます。
modPowerArmorChestEmergencyProto,パワーアーマー用体力回復Mod
modPowerArmorChestEmergencyProtoDesc,パワーアーマー(胴)にセット可能。\n\n体力が全体の50%以下の場合、ゆっくりと体力が回復します。
modPowerArmorLegsShocks,パワーアーマー用重量Mod
modPowerArmorLegsShocksDesc,パワーアーマー(足)にセット可能。\n\nインベントリ内の重量制限がかかっているスロットが全て解除されます。
modPowerArmorLegsJumpBoost,パワーアーマー用ジャンプ力Mod
modPowerArmorLegsJumpBoostDesc,パワーアーマー(足)にセット可能。\n\nジャンプ可能な高度が50%上がります。
modPowerArmorBootsGyros,パワーアーマー用走行Mod
modPowerArmorBootsGyrosDesc,パワーアーマー(ブーツ)にセット可能。\n\n走行中の移動速度が上がり、スタミナ消費が下がります。
modPowerArmorBootsDampener,パワーアーマー用衝撃吸収Mod
modPowerArmorBootsDampenerDesc,パワーアーマー(ブーツ)にセット可能。\n\n落下ダメージを75%軽減します。

perkWildWasteland,ワイルド・ウェイストランド
perkWildWastelandDesc,荒れ地で生き残るために役に立つ知識が習得できる本シリーズ。

perkWhiteRiverSG,ホワイトリバー・サバイバルガイド
perkWhiteRiverSGDesc,荒れ地で生き残るために役に立つ知識が習得できる本シリーズ。

perkPowerArmor,パワーアーマーとあなた
perkPowerArmorDesc,パワーアーマーを使用する際に役に立つコツが書いてある本シリーズ。


bookWildWastelandHeavyHands,ワイルド・ウェイストランドVol 1
bookWildWastelandPrecisionStrike,ワイルド・ウェイストランドVol 2
bookWildWastelandLordoftheLimbs,ワイルド・ウェイストランドVol 3
bookWildWastelandDeepFreeze,ワイルド・ウェイストランドVol 4
bookWildWastelandZap,ワイルド・ウェイストランドVol 5
bookWildWastelandRaiderBully,ワイルド・ウェイストランドVol 6
bookWildWastelandZedtheImpaler,ワイルド・ウェイストランドVol 7

bookWhiteRiverSGTheHaggler,ホワイトリバー・サバイバルガイドVol 1
bookWhiteRiverSGTumblers,ホワイトリバー・サバイバルガイドVol 2
bookWhiteRiverSGIronGut,ホワイトリバー・サバイバルガイドVol 3
bookWhiteRiverSGScratch,ホワイトリバー・サバイバルガイドVol 4
bookWhiteRiverSGRecovery,ホワイトリバー・サバイバルガイドVol 5
bookWhiteRiverSGSprinterWeekly,ホワイトリバー・サバイバルガイドVol 6
bookWhiteRiverSGKeenEyes,ホワイトリバー・サバイバルガイドVol 7

bookPowerArmorMasterRepair,パワーアーマーとあなた Vol 1
bookPowerArmorExtraPlating,パワーアーマーとあなた Vol 2
bookPowerArmorSteadyHands,パワーアーマーとあなた Vol 3
bookPowerArmorBullRush,パワーアーマーとあなた Vol 4
bookPowerArmorEfficientMovement,パワーアーマーとあなた Vol 5
bookPowerArmorStealthCrouch,パワーアーマーとあなた Vol 6
bookPowerArmorReflect,パワーアーマーとあなた Vol 7

perkWildWastelandHeavyHandsDesc,近接武器使用時の敵をノックダウンさせる確率が少し上がります。
perkWildWastelandHeavyHandsLongDesc,"近接武器使用時の敵をノックダウンさせる確率が少し上がります。"
perkWildWastelandPrecisionStrikeDesc,稀に与ダメージ量が2倍になります。
perkWildWastelandPrecisionStrikeLongDesc,"稀に与ダメージ量が2倍になります。"
perkWildWastelandLordoftheLimbsDesc,手足へのダメージ量上昇。
perkWildWastelandLordoftheLimbsLongDesc,"敵の手足に与えるダメージ量が上がります。"
perkWildWastelandDeepFreezeDesc,クライオレーター使用時のダメージ量が20%上がります。
perkWildWastelandDeepFreezeLongDesc,"クライオレーター使用時のダメージ量が20%上がります。"
perkWildWastelandZapDesc,エイリアン・ブラスター使用時のダメージ量が20%上がります。
perkWildWastelandZapLongDesc,"エイリアン・ブラスター使用時のダメージ量が20%上がります。"
perkWildWastelandRaiderBullyDesc,レイダーへのダメージ量が15%上がります。
perkWildWastelandRaiderBullyLongDesc,"レイダーへの怒りにより、彼らに与えるダメージ量が上がりました。"
perkWildWastelandZedtheImpalerDesc,ゾンビへのダメージ量が10%上がります。
perkWildWastelandZedtheImpalerLongDesc,"たくさんのゾンビと戦った経験により、彼らへのダメージ量が上がりました。"
perkWildWastelandCompleteDesc,エナジー武器の弾薬がクラフト可能になります。
perkWildWastelandCompleteLongDesc,"荒れ地は危険な場所です。\n生き残るためには強い武器が必要なため、エナジー武器の弾薬の作り方を習得しました。"

perkWhiteRiverSGTheHagglerDesc,取引価格が10%お得になります。
perkWhiteRiverSGTheHagglerLongDesc,"トレーダーと上手く交渉する事も大切なサバイバルスキルです。\nお得に取引をするコツを学びます。"
perkWhiteRiverSGTumblersDesc,ロックピックが壊れる確率を25%下げます。
perkWhiteRiverSGTumblersLongDesc,"ピッキングより成功しやすくなります。"
perkWhiteRiverSGIronGutDesc,満腹値や水分値が減る速度が落ち、赤痢になりにくくなります。
perkWhiteRiverSGIronGutLongDesc,"満腹値や水分値が減る速度が落ち、赤痢になりにくくなります。"
perkWhiteRiverSGScratchDesc,ほとんどのデバフへの抵抗が20%ずつ上がります。
perkWhiteRiverSGScratchLongDesc,"鍛えられたため、ほとんどのデバフへの抵抗が上がります。"
perkWhiteRiverSGRecoveryDesc,少量の体力が持続回復するようになります。
perkWhiteRiverSGRecoveryLongDesc,"自然治癒力が見に着いたため、ゆっくりと体力が回復するようになりました。"
perkWhiteRiverSGSprinterWeeklyDesc,走行中のスタミナ消費が10%軽減されます。
perkWhiteRiverSGSprinterWeeklyLongDesc,"走行中のスタミナ消費が軽減されます。"
perkWhiteRiverSGKeenEyesDesc,ゲームステージが15%上昇します。
perkWhiteRiverSGKeenEyesLongDesc,"ゴミ漁りの経験により、探索中に良い物を見つける確率が上がります。"
perkWhiteRiverSGCompleteDesc,様々な家具がクラフト可能になります。
perkWhiteRiverSGCompleteLongDesc,"サバイバルに慣れてきたので、生活エリアをより居心地よくする余裕が出てきました。\n\n様々な家具やストレージがクラフト可能になります。"

perkPowerArmorMasterRepairDesc,パワーアーマー・リペアキットのクラフトに必要な材料が軽減され、クラフト時間が50%短縮されます。
perkPowerArmorMasterRepairLongDesc,"パワーアーマー・リペアキットのクラフトに必要な材料が軽減され、クラフト時間が50%短縮されます。"
perkPowerArmorExtraPlatingDesc,パワーアーマーの劣化速度が20%遅くなります。
perkPowerArmorExtraPlatingLongDesc,"パワーアーマーの劣化速度が20%遅くなります。"
perkPowerArmorSteadyHandsDesc,パワーアーマー着用時の命中精度が上がります。
perkPowerArmorSteadyHandsLongDesc,"パワーアーマー着用時の命中精度が上がります。"
perkPowerArmorBullRushDesc,走りながらゾンビと衝突するとノックダウンすることが出来るようになります。
perkPowerArmorBullRushLongDesc,"走りながらゾンビと衝突するとノックダウンすることが出来るようになります。"
perkPowerArmorEfficientMovementDesc,パワーアーマー着用時のスタミナ消費量が軽減されます。
perkPowerArmorEfficientMovementLongDesc,"パワーアーマー着用時のスタミナ消費量が軽減されます。"
perkPowerArmorStealthCrouchDesc,パワーアーマー着用時のしゃがみ移動速度が上がり、スタミナ消費が軽減されます。
perkPowerArmorStealthCrouchLongDesc,"パワーアーマー着用時のしゃがみ移動速度が上がり、スタミナ消費が軽減されます。"
perkPowerArmorReflectDesc,パワーアーマー着用時に攻撃を受けると、受けたダメージの25%分を相手に跳ね返します。
perkPowerArmorReflectLongDesc,"パワーアーマー着用時に攻撃を受けると、受けたダメージの25%分を相手に跳ね返します。\n\n跳ね返したダメージにより敵が死んだ場合、キル経験値は獲得できません。"
perkPowerArmorCompleteDesc,パワーアーマー着用時、最大体力値と最大スタミナ値上昇。
perkPowerArmorCompleteLongDesc,"パワーアーマー着用時、最大体力値と最大スタミナ値上昇。"

questPewPew,サンセット・サルサパリラ広告
questPewPewDesc,スター・ボトルキャップのプレゼントキャンペーン情報が書いてあります。\n\n読むと当たり賞品の入手方法が分かります。
questoldMap,古い地図
questoldMapDesc,宝の隠し場所が書いてある地図。\n\n読むと場所が表示されます。
questLetter,古い手紙
questLetterDesc,宛先へ届くことがなかった古い手紙。
cntPewPewLoot,隠された宝

humanRaiderScoutClub,レイダー・シーフ
humanRaiderScoutSMG,レイダー・シーフ
humanRaiderScoutRifle,レイダー・シーフ
humanRaider1Club,ワンダリング・レイダー
humanRaider1SMG,ワンダリング・レイダー
humanRaider1Rifle,ワンダリング・レイダー
humanRaider2Club,ワイルド・レイダー
humanRaider2SMG,ワイルド・レイダー
humanRaider2Rifle,ワイルド・レイダー
humanRaider3Club,マスク・レイダー
humanRaider3Rifle,マスク・レイダー
humanRaider3Shotty,マスク・レイダー
humanRaider4Club,レイダー・ウォリック
humanRaider4Rifle,レイダー・ウォリック
humanRaider4Shotty,レイダー・ウォリック
humanRaider5Club,レイダー・エンジニア
humanRaider5Shotty,レイダー・エンジニア
humanRaider5Rifle,レイダー・エンジニア
humanRaiderLeaderRifle,レイダー・リーダー
humanRaiderLeaderClub,レイダー・リーダー
humanRaiderLeaderShotgun,レイダー・リーダー
humanRaiderScoutClubsleeper,レイダー・シーフ
humanRaiderScoutSMGsleeper,レイダー・シーフ
humanRaiderScoutRiflesleeper,レイダー・シーフ
humanRaider1Clubsleeper,ワンダリング・レイダー
humanRaider1SMGsleeper,ワンダリング・レイダー
humanRaider1Riflesleeper,ワンダリング・レイダー
humanRaider2Clubsleeper,ワイルド・レイダー
humanRaider2SMGsleeper,ワイルド・レイダー
humanRaider2Riflesleeper,ワイルド・レイダー
humanRaider3Clubsleeper,マスク・レイダー
humanRaider3Riflesleeper,マスク・レイダー
humanRaider3Shottysleeper,マスク・レイダー
humanRaider4Clubsleeper,レイダー・ウォリック
humanRaider4Riflesleeper,レイダー・ウォリック
humanRaider4Shottysleeper,レイダー・ウォリック
humanRaider5Clubsleeper,レイダー・エンジニア
humanRaider5Shottysleeper,レイダー・エンジニア
humanRaider5Riflesleeper,レイダー・エンジニア
humanRaiderLeaderClubsleeper,レイダー・リーダー
humanRaiderLeaderRiflesleeper,レイダー・リーダー
humanRaiderLeaderShotgunsleeper,レイダー・リーダー
humanSoldier1Knife,ソルジャー
humanSoldier1Rifle,ソルジャー
humanSoldier2Knife,ベテラン・ソルジャー
humanSoldier2Rifle,ベテラン・ソルジャー
humanSoldier3Knife,司令官
humanSoldier3Rifle,司令官
humanSoldier4Knife,マスク・ソルジャー
humanSoldier4Rifle,マスク・ソルジャー
humanSoldier5Knife,テック・ソルジャー
humanSoldier5Rifle,テック・ソルジャー
humanSoldier1Knifesleeper,ソルジャー
humanSoldier1Riflesleeper,ソルジャー
humanSoldier2Knifesleeper,ベテラン・ソルジャー
humanSoldier2Riflesleeper,ベテラン・ソルジャー
humanSoldier3Knifesleeper,司令官
humanSoldier3Riflesleeper,司令官
humanSoldier4Knifesleeper,マスク・ソルジャー
humanSoldier4Riflesleeper,マスク・ソルジャー
humanSoldier5Knifesleeper,テック・ソルジャー
humanSoldier5Riflesleeper,テック・ソルジャー
mutantSM1melee1,ミュータント
mutantSM1melee2,ミュータント
mutantSM1melee3,ミュータント
mutantSM1melee4,ミュータント
mutantSM1melee5,ミュータント
mutantSM1melee6,ミュータント
mutantSM1melee7,ミュータント
mutantSM1melee8,ミュータント
mutantSM1ranged1,ミュータント
mutantSM1ranged2,ミュータント
mutantSM1ranged3,ミュータント
MutantSM1Bomber,ミュータント・ボマー
MutantSM1horde1,ミュータント T-800
MutantSM1horde2,ミュータント T-800
MutantSM1horde3,ミュータント T-800
MutantSM1horde4,ミュータント T-800
MutantSM1horde5,ミュータント T-800
MutantSM1horde6,ミュータント T-800
MutantSM1horde7,ミュータント T-800
MutantSM1horde8,ミュータント T-800
mutantBehemoth,ミュータント・ベヒーモス
mutantBehemoth2,ミュータント・ベヒーモス2
zombieGhoul1,グール
zombieFeralGhoul,汚染グール
RaiderLeaderLoot,レイダー・リーダーのルート袋

"Nuka Cola",ヌカ・コーラ
"The delicious taste of Nuka Cola has you feeling revitalized! Recover stamina quicker, and restore a small amount of max health and stamina. The small trace of radiation also allow for a slight movement speed boost for a limited time!",美味しいヌカ・コーラを飲んだため、元気いっぱいです！\nスタミナ回復速度が上がり、少量の体力とスタミナが回復します。\n若干放射性物質が含まれているため、一時的に移動速度が上がります。
"Nuka Cherry",ヌカ・チェリー
"Mmm...Nuka Cherry! Recover stamina quicker, increase melee damage, and restore a decent amount of max health and stamina. The traces of radiation also allow for a moderate movement speed boost for a limited time!",ヌカ・チェリーは美味しいですね！\nスタミナ回復速度が上がり、少量の体力とスタミナが回復します。\n若干放射性物質が含まれているため、一時的に移動速度が上がります。
"Nuka Quantum",ヌカ・クアンタム
"Nuka Quantum has put you into overdrive! Recover stamina and health quicker, and restore a large amount of max health and stamina. The large amount of radiation also allows for a substantial movement speed boost for a limited time, but you'll probably feel it later!",ヌカ・クアンタムを飲んだため、体力とスタミナの回復速度が上昇し、放射性物質の効果で一時的に移動速度が上がります。\n後遺症はあるようなので、ほどほどに。
"Quantum Effect",クアンタム効果
"Your body has crashed from the Quantum rush! But hey, at least your pee will glow for a week! Maybe you should lie down...",クアンタムの後遺症を受けています。\n悪い事ばかりではありませんよ、あと一週間ほどあなたの尿が光ります！\n\n少し横になったほうが良いかもしれませんね．．．
"Nuka Quartz",ヌカ・クォーツ
"Was that expired? Too late now! Damage resistance is increased and health will regenerate, but it does make you queasy!",腐ってたのかな．．．？\nダメージへの抵抗が上がり、体力が徐々に回復していますが、なんだかクラクラします。
"Quartz Effect",クォーツ効果
"Your body did not appreciate that! Hopefully it was worth it...",健康には悪そうですが．．．
"Sunset Sarsaparilla",サンセット・サルサパリラ
"The refreshing taste of Sunset Sarsaparilla has you feeling reinvigorated! Recover stamina quicker, and restore a small amount of max health and stamina.",スッキリとしたサンセット・サルサパリラを飲んだため元気が出ました！\n\nスタミナ回復速度が上がり、体力とスタミナが回復しています。
"You have collected enough Star Bottle Caps to redeem your reward!",賞品をもらうために必要な個数のスター・ボトルキャップが集まりました！\n\n賞品をもらいに行きましょう！
"The Legend of the Star",伝説のスター
"Head to the trader to collect your prize!",トレーダーから賞品をもらいに行きましょう！
"Someone ran off with the reward, but I heard where they should be headed. Here's a map of the area, hopefully you can find where they hid it. I'd keep my eyes peeled if I were you.",残念ながら賞品は盗まれてしまった。\n\n盗んだ奴が逃げて行った方面を地図に示しておいたから、そのあたりを探してきてくれ。
"A Valuable Lesson",貴重な学び
"I guess I'd better get to hunting for their stash so I can get my reward.",賞品を手に入れるためには探しに行くしかなさそうだ。
ammoBundle10mmBullet,10㎜弾入りの箱
ammoBundle10mmBulletHP,10㎜ HP弾入りの箱
ammoBundle10mmBulletAP,10㎜ AP弾入りの箱
meleeMachete1,鉈(なた)
LaserShotgunNoFireDesc,セル弾が足りません。\n\n撃つためにはリロードする必要があります。


vehicleBoxTruckbody,ボックス・トラックボディ
vehicleBoxTruckbodyDesc,ボックス・トラックをクラフトするために必要なパーツ。
vehicleBoxTruckchassis,ボックス・トラックシャーシ
vehicleBoxTruckchassisDesc,ボックス・トラックをクラフトするために必要なパーツ。
vehicleBoxTruckPlain,ボックス・トラック
vehicleBoxTruckPlainplaceable,ボックス・トラック
vehicleBoxTruckPlainplaceableDesc,"古びたボックス・トラック。"
vehicleBoxTruckHostess,"ボックス・トラック(文字入り)"
vehicleBoxTruckHostessplaceable,"ボックス・トラック(文字入り)"
vehicleBoxTruckHostessplaceableDesc,"タラハシーのお気に入り。"
vehicleBoxTruckRHSchematic,ボックス・トラックの図
vehicleGNXchassis,GNXシャーシ
vehicleGNXchassisDesc,GNXをクラフトするために必要なパーツ。\n\nグリースモンキーのレベル4が必要です。
vehicleGNXaccessories,GNXアクセサリ
vehicleGNXaccessoriesDesc,GNXをクラフトするために必要なパーツ。
vehicleGNXBlack,GNX
vehicleGNXBlackplaceable,GNX(黒)
vehicleGNXBlackplaceableDesc,荒れ地でスタイリッシュに乗り回しましょう！
vehicleGNXRed,GNX
vehicleGNXRedplaceable,GNX(赤)
vehicleGNXRedplaceableDesc,荒れ地でスタイリッシュに乗り回しましょう！
vehicleGolfCart,ゴルフカート
vehicleGolfCartchassis,"ゴルフカート・シャーシ"
vehicleGolfCartchassisDesc,"ゴルフカートをクラフトするために必要なパーツ。\n\nグリースモンキーレベル 2 が必要です。"
vehicleGolfCartaccessories,"ゴルフカートアクセサリ"
vehicleGolfCartaccessoriesDesc,"ゴルフカートをクラフトするために必要なパーツ。\n\nグリースモンキーレベル 2 が必要です。"
vehicleGolfCartplaceable,ゴルフカート
vehicleGolfCartplaceableDesc,"歩くよりは良いはずです！"
meleeWpnClubT3GolfClub,ゴルフクラブ
meleeWpnClubT3GolfClubDesc,"ゴルフボールがないって？\n\nスイングの練習ならゾンビ相手にすると良いですね。"
mvehicleWillyJeep,ウィリスジープ
vehicleWillyJeepplaceable,ウィリスジープ
vehicleWillyJeepplaceableDesc,"第二次世界大戦で無事だったのなら大丈夫ですね！"
vehicleWillyJeepTopless,"ウィリスジープ(屋根無し)"
vehicleWillyJeepToplessplaceable,"ウィリスジープ(屋根無し)"
vehicleWillyJeepToplessplaceableDesc,"風を感じながら走れます！"
vehicleMRAP,MRAP
vehicleMRAP2,MRAP
vehicleMRAPplaceable,MRAP
vehicleMRAP2placeableDesc,立派なMRAP軍用車両。
vehicleMRAP2placeable,MRAP
vehicleMRAPplaceableDesc,立派なMRAP軍用車両。
vehicleMRAPaccessories,MRAPアクセサリ
vehicleMRAPaccessoriesDesc,MRAPをクラフトするために必要なパーツ。
vehicleMRAPparts,MRAPパーツ
vehicleMRAPpartsDesc,MRAPをクラフトするために必要なパーツ。
vehicleMarauder,マローダー
vehicleMarauderplaceable,マローダー
vehicleMarauderplaceableDesc,ゾンビも羨む素晴らしい乗り物！
vehicleMarauderblack,マローダー
vehicleMarauderblackplaceable,マローダー
vehicleMarauderblackplaceableDesc,ゾンビも羨む素晴らしい乗り物！
vehicleMarauderchassis,マローダー・シャーシ
vehicleMarauderchassisDesc,マローダーをクラフトするために必要なパーツ。\n\nグリースモンキーレベル 5 が必要です。
vehicleMarauderaccessories,マローダー・アクセサリ
vehicleMarauderaccessoriesDesc,マローダーをクラフトするために必要なパーツ。
vehicleUAZ452chassis,UAZ 452シャーシ
vehicleUAZ452chassisDesc,UAZ 452をクラフトするために必要なパーツ。\n\nグリースモンキーレベル 4 が必要です。
vehicleUAZ452,UAZ 452
vehicleUAZ452placeable,UAZ 452
vehicleUAZ452placeableDesc,アポカリプスの世界に綺麗に馴染んでいます。
vehicleNovachassis,Novaシャーシ
vehicleNovachassisDesc,Novaをクラフトするために必要なパーツ。\n\nグリースモンキーレベル 4 が必要です。
vehicleNovaaccessories,Novaアクセサリ
vehicleNovaaccessoriesDesc,Novaをクラフトするために必要なパーツ。
vehicleNova,Nova
vehicleNovaplaceable,Nova
vehicleNovaplaceableDesc,これぞクラシック．．．
vehicleNovared,Nova(赤)
vehicleNovaredplaceable,Nova(赤)
vehicleNovaredplaceableDesc,これぞクラシック．．．
vehicleNovablack,Nova(黒)
vehicleNovablackplaceable,Nova(黒)
vehicleNovablackplaceableDesc,これぞクラシック．．．
vehicleWorkTruckchassis,"作業用トラック・シャーシ"
vehicleWorkTruckchassisDesc,"作業用トラックをクラフトするために必要なパーツ。\n\nグリースモンキーレベル 4 が必要です。"
vehicleWorkTruckaccessories,"作業用トラック・アクセサリ"
vehicleWorkTruckaccessoriesDesc,"作業用トラックをクラフトするために必要なパーツ。"
vehicleWorkTruck,作業用トラック
vehicleWorkTruckplaceable,作業用トラック
vehicleWorkTruckplaceableDesc,"色々あって、ボロボロになっています。"
vehicleBRDM2chassis,BRDM-2シャーシ
vehicleBRDM2chassisDesc,BRDM-2をクラフトするために必要なパーツ。\n\nグリースモンキーレベル 5 が必要です。
